Street Type,Abbreviation
ALLEY,ALLY
ALLEYWAY,ALWY
ARCADE,ARC
AVENUE,AVE
BASIN,BASN
BEACH,BCH
BEND,BEND
BLOCK,BLK
BOULEVARD,BVD
BRIDGE,BDGE
BROADWAY,BDWY
BYPASS,BYPA
BYWAY,BYWY
CAUSEWAY,CAUS
CENTRAL,CN
CENTRE,CTR
CENTREWAY,CNWY
CHASE,CH
CIRCLE,CIR
CIRCUIT,CCT
CLOSE,CL
CONCOURSE,CON
CORNER,CNR
COURT,CT
COURTYARD,CTYD
COVE,COVE
CRESCENT,CRES
CREST,CRST
CROSS,CRSS
CROSSING,CRSG
CROSSROAD,CRD
CROSSWAY,COWY
CUL-DE-SAC,CDS
DEVIATION,DEVN
DIP,DIP
DISTRIBUTOR,DSTR
DRIVE,DR
DRIVEWAY,DRWY
EAST,E
EDGE,EDGE
ELBOW,ELB
END,END
ENTRANCE,ENT
ESPLANADE,ESP
ESTATE,EST
EXPRESSWAY,EXP
EXTENSION,EX
FAIRWAY,FAWY
FIRE TRACK,FTRK
FIRETRAIL,FIT
FLAT,FLAT
FORESHORE,FSHR
FORMATION,FORM
FREEWAY,FWY
FRONT,FRNT
FRONTAGE,FRTG
GAP,GAP
GARDEN,GDN
GATE,GTE
GARDENS,GDNS
GLEN,GLEN
GRANGE,GRA
GREEN,GRN
GROUND,GRND
GULLY,GLY
GROVE,GR
HEIGHTS,HTS
HIGHROAD,HRD
HIGHWAY,HWY
HILL,HILL
INTERCHANGE,INTG
INTERSECTION,INTN
JUNCTION,JNC
KEY,KEY
LANDING,LDG
LANE,LANE
LANEWAY,LNWY
LINK,LINK
LITTLE,LT
LOOKOUT,LKT
LOOP,LOOP
LOWER,LR
MEWS,MEWS
MOTORWAY,MWY
MOUNT,MT
NOOK,NOOK
NORTH,N
NORTH EAST,NE
NORTH WEST,NW
OUTLOOK,OTLK
PARADE,PDE
PARK,PARK
PARKLANDS,PKLD
PARKWAY,PKWY
PATHWAY,PHWY
PIAZZA,PIAZ
PLACE,PL
PLATEAU,PLAT
PLAZA,PLZA
POCKET,PKT
POINT,PNT
PORT,PORT
PROMENADE,PROM
QUAD,QUAD
QUADRANGLE,QDGL
QUADRANT,QDRT
QUAY,QY
QUAYS,QYS
RAMBLE,RMBL
RANGE,RNGE
REACH,RCH
RESERVE,RES
RETREAT,RTT
RIDGE,RDGE
RIDGEWAY,RGWY
RIGHT OF WAY,ROWY
RIVER,RVR
RIVERWAY,RVWY
RIVIERA,RVRA
ROAD,RD
ROADS,RDS
ROADSIDE,RDSD
ROADWAY,RDWY
RONDE,RNDE
ROSEBOWL,RSBL
ROTARY,RTY
ROUND,RND
ROUTE,RTE
RUN,RUN
SERVICE WAY,SWY
SIDING,SDNG
SLOPE,SLPE
SOUND,SND
SOUTH,S
SOUTH EAST,SE
SOUTH WEST,SW
SQUARE,SQ
STATE HIGHWAY,SHWY
STRAND,STRA
STREET,ST
STRIP,STRP
SUBWAY,SBWY
TERRACE,TCE
THOROUGHFARE,THOR
TOLLWAY,TLWY
TOWERS,TWRS
TRACK,TRK
TRAIL,TRL
TRAILER,TRLR
TRIANGLE,TRI
TRUNKWAY,TKWY
TURN,TURN
UNDERPASS,UPAS
UPPER,UP
VALE,VALE
VIADUCT,VDCT
VILLAS,VLLS
VISTA,VSTA
WALK,WALK
WALKWAY,WKWY
WAY,WAY
WEST,W
WHARF,WHRF
WYND,WYND
YARD,YARD
